Z1618	6 Towns Credit Union Limited	382 High Street, West Bromwich, B70 9LB	C 
Z1206	Aberdeen Asset Management Limited	Edinburgh One, 60 Morrison Street, Edinburgh, EH3 8BE	SS 
Z1124	Aberdeen Asset Managers Limited	10 Queens Terrace, Aberdeen, AB10 1YG	C, SS 
Z1125	Aberdeen Fund Managers Limited	10 Queens Terrace, Aberdeen, AB10 1YG	C, SS 
Z1870	Abundance Investment Limited	Unit 16 Linen House, 253 Kilburn Lane, London, W10 4BQ	C, IF, SS 
Z1475	Accrue Investment Management Limited	2 Chapel Row, Queen Square, Bath, BA1 1HN	SS 
Z1001	Adam and Company Investment Management Limited	22 Charlotte Square, Edinburgh, EH2 4DF	C, SS 
Z1775	Aegon Investment Solutions Limited	Edinburgh Park, Edinburgh, EH12 9SE	C, SS 
Z1277	Airdrie Savings Bank	56 Stirling Street, Airdrie, ML6 0AW	C 
Z1688	AJ Bell Securities Limited	Calverley House, 55 Calverley Road, Tunbridge Wells, TN1 2TU	SS 
Z1129	Aldermore Bank plc	20 Hook Road, Epsom, KT19 8TR	C 
Z1155	Alliance Trust and Savings Limited	Alliance Trust Savings Limited, PO Box 164, 8 West Marketgait, Dundee, DD1 9YP	SS 
Z1353	Allianz Global Investors Europe GmbH	155 Bishopsgate, London, EC2M 3AD	SS 
Z1851	Alpha Real property Investment Advisers LLP	338 Euston Road, London, NW1 3BG	SS 
Z1827	Al Rayan Bank plc	Edgbaston House, 3 Duchess Place, Hagley Road, Birmingham, B16 8NH	C 
Z1785	Amber Financial Investments Limited	Bollin House, Oakfield Road, Cheadle Royal Business Park, SK8 3GX	SS 
Z1542	Ancient Order of Foresters Friendly Society, The	Foresters House, 29 to 33 Shirley Road, Southampton SO15 3EW	C, SS 
Z1771	Anderson Strathern Asset Management Limited	One Rutland Court, Edinburgh, EH3 8EY	SS 
Z1900	Apollo Multi Asset Management LLP	25 Church Farm Business Park, Corston, Bath, BA2 9AP	SS 
Z1362	Arbuthnot Latham and Company Limited	Arbuthnot House, 7 Wilson Street, London, EC2M 2SN	C, SS 
Z1829	Architas Multi-Manager Limited	5 Old Broad Street, London, EC2N 1AD	SS 
Z1927	Arch Over Limited	5th Floor, 40 Gracechurch Street, London, EC3V 0BT	IF 
Z1004	Arnold Stansby and Company	Alexandra Buildings, Queen Street, Manchester, M2 5JJ	C, SS 
Z1157	Artemis Fund Managers Limited	Cassini House, 57 St James’s Street, London, SW1A 1LD	SS 
Z1428	Avalon Investment Services Limited	5 Church Street, Tetbury, GL8 8JG	SS 
Z1251	Aviva Investors UK Funds Limited	1 Poultry, London, EC2R 8EJ	C, SS 
Z1907	Aviva Investors UK Fund Services Limited	1 Poultry, London, EC2R 8EJ	SS 
Z1582	Aviva Wrap UK Limited	Policyholder Tax, Wellington Road, Floor 4, York, YO90 1WR	SS 
Z1703	AXA Investment Managers UK Limited	7 Newgate Street, London, EC1A 7NX	SS 
Z1180	AXA Portfolio Services Limited	PO Box 290, Bristol, BS99 7SL	C, SS 
Z1070	Baillie Gifford Savings Management Limited	PO Box 12017, Chelmsford, CM99 2DU	SS 
Z1567	Banco Santander Totta SA	68 Cannon Street, London, EC4N 6AQ	C 
Z1105	Bank And Clients Limited	Discovery House, Whiting Road, Norwich, NR4 6EJ	C 
Z1738	Bank of Baroda	32 City Road, London, EC1Y 2BD	C 
Z1378	Bank of Cyprus (London) Limited	87 to 93 Chase Side, London, N14 5BU	C 
Z1651	Bank of East Asia Limited, The	London Branch, 75 Shaftesbury Avenue, London, W1D 5BB	C 
Z1637	Bank of Ireland UKFS	1 Temple Quay, Bristol, BS99 7AX	C 
Z1144	Bank of Scotland	Now part of Halifax plc	C 
Z1174	Barclays Bank plc	Group Tax Level 29, 1 Churchill Place, London, E14 5 HP	C, SS 
Z1054	Barratt and Cooke	5 Opie Street, Norwich, NR1 3DW	C, SS 
Z1244	Bath Investment Building Society	15 Queen Square, Bath, BA1 2HN	C 
Z1916	Bayonet Ventures LLP	Unit 79, Eurolink Business Centre, 49 Effra Road, London, SW2 1BZ	IF 
Z1713	Beaufort Asset Clearing Services Limited	131 Finsbury Pavement, London, EC2A 1NT	SS 
Z1716	Bedworth and Bulkington Credit Union Limited	7 Leicester Street, Bedworth, CV12 8GG	C 
Z1075	Beverley Building Society	57 Market Place, Beverley, HU17 8AA	C 
Z1053	BIRA Finance Limited	225 Bristol Road, Edgbaston, Birmingham, B5 7UB	C 
Z1278	Birmingham Midshires plc	PO Box 81 Pendeford Business Park, Wolverhampton, WV9 5HZ	C 
Z1876	Blackfinch Investments Limited	Blackfinch House, Chequers Close, Malvern, Worcestershire, WR14 1GP	IF, SS 
Z1027	Blackrock Investment Management (UK) Limited	12 Throgmorton Avenue, London, EC2N 2DL	C, SS 
Z1227	Blankstone Sington Limited	91 Duke Street, Liverpool, L1 5AA	C, SS 
Z1061	BNY Mellon Fund Managers Limited	PO Box 366, Darlington, DL1 9RF	C, SS 
Z1363	Bordier and CIE (UK) plc	79 Pall Mall, London, SW1Y 5ES	SS 
